"BIRTH_DATE","CowId","herd","ENTER_HERD_DATE","LEFT_HERD_DATE","LEFT_HERD_CODE"
25SEP2013,347,3,25SEP2013,,.
26SEP2013,348,3,26SEP2013,,.
29SEP2013,349,3,29SEP2013,03NOV2013,21
30SEP2013,350,3,30SEP2013,,.
10OCT2013,351,2,10OCT2013,,.
16OCT2013,352,2,16OCT2013,,.
19OCT2013,353,2,19OCT2013,01MAY2017,14
21OCT2013,354,2,21OCT2013,,.
26OCT2013,355,2,26OCT2013,,.
04NOV2013,356,2,04NOV2013,22FEB2017,24
11OCT2013,357,3,11OCT2013,,.
17OCT2013,358,3,17OCT2013,02SEP2016,14
26OCT2013,359,3,26OCT2013,07SEP2016,30
27OCT2013,360,3,27OCT2013,05JAN2017,14
28OCT2013,361,3,28OCT2013,08FEB2017,21
03NOV2013,362,3,03NOV2013,06DEC2017,21
11NOV2013,363,3,11NOV2013,13FEB2016,16
22NOV2013,364,2,22NOV2013,22MAY2017,24
28NOV2013,365,2,28NOV2013,01MAY2017,14
22NOV2013,366,3,22NOV2013,02MAY2016,06
03DEC2013,367,3,03DEC2013,17JAN2017,26
21DEC2013,368,1,21DEC2013,15FEB2017,10
28DEC2013,369,2,28DEC2013,,.
28DEC2013,370,2,28DEC2013,,.
28DEC2013,371,2,28DEC2013,06FEB2014,17
29DEC2013,372,2,29DEC2013,,.
06JAN2014,373,2,06JAN2014,,.
06JAN2014,374,2,06JAN2014,28NOV2016,28
08JAN2014,375,2,08JAN2014,,.
09JAN2014,376,2,09JAN2014,,.
10JAN2014,377,2,10JAN2014,,.
19DEC2013,378,3,19DEC2013,,.
22DEC2013,379,3,22DEC2013,,.
28DEC2013,380,3,28DEC2013,02JAN2018,12
29DEC2013,381,3,29DEC2013,06DEC2017,08
01JAN2014,382,3,01JAN2014,08FEB2017,24
04JAN2014,383,3,04JAN2014,,.
11JAN2014,384,3,11JAN2014,,.
18JAN2014,385,2,18JAN2014,22JAN2018,24
18JAN2014,386,2,18JAN2014,,.
22JAN2014,387,3,22JAN2014,,.
26JAN2014,388,3,26JAN2014,,.
